Actif;Date;High;Low;Open;Close;Volume
^STOXX50E;09/01/2014;3090.26;3090.26;3090.26;3090.26;0
^STOXX50E;08/01/2014;3110.66;3110.66;3110.66;3110.66;0
^STOXX50E;07/01/2014;3110.96;3110.96;3110.96;3110.96;0
^STOXX50E;06/01/2014;3069.16;3069.16;3069.16;3069.16;0
^STOXX50E;03/01/2014;3074.43;3074.43;3074.43;3074.43;0
^STOXX50E;31/12/2013;3109;3109;3109;3109;0
^STOXX50E;30/12/2013;3100.93;3100.93;3100.93;3100.93;0
^STOXX50E;27/12/2013;3111.37;3111.37;3111.37;3111.37;0
^STOXX50E;24/12/2013;3072.88;3072.88;3072.88;3072.88;0
^STOXX50E;23/12/2013;3070.91;3070.91;3070.91;3070.91;0
^STOXX50E;18/12/2013;2975.09;2975.09;2975.09;2975.09;0
^STOXX50E;17/12/2013;2941.76;2941.76;2941.76;2941.76;0
^STOXX50E;16/12/2013;2978.77;2978.77;2978.77;2978.77;0
^STOXX50E;13/12/2013;2921.92;2921.92;2921.92;2921.92;0
^STOXX50E;12/12/2013;2928.12;2928.12;2928.12;2928.12;0
^STOXX50E;11/12/2013;2947.31;2947.31;2947.31;2947.31;0
^STOXX50E;10/12/2013;2960.86;2960.86;2960.86;2960.86;0
^STOXX50E;09/12/2013;2988.67;2988.67;2988.67;2988.67;0
^STOXX50E;06/12/2013;2979.94;2979.94;2979.94;2979.94;0
^STOXX50E;05/12/2013;2953.17;2953.17;2953.17;2953.17;0
^STOXX50E;04/12/2013;2991.76;2991.76;2991.76;2991.76;0
^STOXX50E;03/12/2013;3013.88;3013.88;3013.88;3013.88;0
^STOXX50E;02/12/2013;3077.23;3077.23;3077.23;3077.23;0
^STOXX50E;28/11/2013;3092.42;3092.42;3092.42;3092.42;0
^STOXX50E;27/11/2013;3082.65;3082.65;3082.65;3082.65;0
^STOXX50E;26/11/2013;3062.62;3062.62;3062.62;3062.62;0
^STOXX50E;25/11/2013;3072.75;3072.75;3072.75;3072.75;0
^STOXX50E;15/11/2013;3054.53;3054.53;3054.53;3054.53;0
^STOXX50E;14/11/2013;3053.69;3053.69;3053.69;3053.69;0
^STOXX50E;13/11/2013;3021.17;3021.17;3021.17;3021.17;0
^STOXX50E;12/11/2013;3034.68;3034.68;3034.68;3034.68;0
^STOXX50E;11/11/2013;3052.83;3052.83;3052.83;3052.83;0
^STOXX50E;07/11/2013;3042.98;3042.98;3042.98;3042.98;0
^STOXX50E;06/11/2013;3056.4;3056.4;3056.4;3056.4;0
^STOXX50E;05/11/2013;3035.92;3035.92;3035.92;3035.92;0
^STOXX50E;01/11/2013;3052.14;3052.14;3052.14;3052.14;0
^STOXX50E;31/10/2013;3067.95;3067.95;3067.95;3067.95;0
^STOXX50E;30/10/2013;3040.69;3040.69;3040.69;3040.69;0
^STOXX50E;29/10/2013;3050.64;3050.64;3050.64;3050.64;0
^STOXX50E;28/10/2013;3022.04;3022.04;3022.04;3022.04;0
^STOXX50E;25/10/2013;3034.5;3034.5;3034.5;3034.5;0
^STOXX50E;24/10/2013;3038.96;3038.96;3038.96;3038.96;0
^STOXX50E;23/10/2013;3017.16;3017.16;3017.16;3017.16;0
^STOXX50E;22/10/2013;3045.77;3045.77;3045.77;3045.77;0
^STOXX50E;21/10/2013;3028.65;3028.65;3028.65;3028.65;0
^STOXX50E;18/10/2013;3033.31;3033.31;3033.31;3033.31;0
^STOXX50E;17/10/2013;3010.39;3010.39;3010.39;3010.39;0
^STOXX50E;16/10/2013;3015.4;3015.4;3015.4;3015.4;0
^STOXX50E;15/10/2013;3004.56;3004.56;3004.56;3004.56;0
^STOXX50E;14/10/2013;2977.69;2977.69;2977.69;2977.69;0
^STOXX50E;11/10/2013;2974.28;2974.28;2974.28;2974.28;0
^STOXX50E;10/10/2013;2969.41;2969.41;2969.41;2969.41;0
^STOXX50E;09/10/2013;2904.73;2904.73;2904.73;2904.73;0
^STOXX50E;08/10/2013;2903.35;2903.35;2903.35;2903.35;0
^STOXX50E;07/10/2013;2923.04;2923.04;2923.04;2923.04;0
^STOXX50E;04/10/2013;2928.31;2928.31;2928.31;2928.31;0
^STOXX50E;02/10/2013;2918.31;2918.31;2918.31;2918.31;0
^STOXX50E;01/10/2013;2933.02;2933.02;2933.02;2933.02;0
^STOXX50E;30/09/2013;2893.15;2893.15;2893.15;2893.15;0
^STOXX50E;24/09/2013;2922.93;2922.93;2922.93;2922.93;0
